,hidden_layer_sizes,Run Time,loss,n_iter,Average F-Meas,Average Precision,Average Recall,Overall Accuracy
0,1,4.717151880264282,0.9960709295777797,5.0,0.18,0.17,0.2,0.6
1,2,26.429079055786133,0.7090373281987936,27.0,0.38,0.41,0.4,0.71
2,3,14.700436115264893,0.7106170525691616,14.0,0.34,0.41,0.36,0.71
3,4,19.681215047836304,0.6574602660970458,19.0,0.41,0.45,0.43,0.72
4,5,15.790098905563354,0.6520569360642331,12.0,0.41,0.46,0.43,0.73
5,6,23.07061195373535,0.6399985130351058,15.0,0.43,0.47,0.44,0.73
6,7,18.721620082855225,0.6296656699261864,13.0,0.44,0.48,0.44,0.74
7,8,40.766091108322144,0.6076987878217174,31.0,0.47,0.59,0.46,0.74
8,9,37.89949893951416,0.5996436163032326,29.0,0.5,0.65,0.49,0.74
9,10,43.827231884002686,0.5860979880456328,32.0,0.52,0.7,0.49,0.75
10,20,92.32371187210083,0.528411035044654,57.0,0.59,0.7,0.56,0.78
11,30,86.31622910499573,0.5090988186438005,49.0,0.62,0.73,0.57,0.78
12,40,96.45317506790161,0.503969467076439,47.0,0.62,0.73,0.58,0.79
13,50,150.39765286445618,0.4644533188059445,70.0,0.66,0.76,0.62,0.81
14,60,182.7261610031128,0.4394944466496434,80.0,0.68,0.78,0.64,0.82
15,70,201.56140398979187,0.43032764114700134,81.0,0.69,0.77,0.65,0.82
16,80,172.3979229927063,0.4271301751366672,70.0,0.68,0.78,0.64,0.82
17,90,175.31302309036255,0.42836398532760894,66.0,0.67,0.78,0.63,0.82
18,100,233.8402659893036,0.40718307468877335,83.0,0.7,0.78,0.67,0.83
19,200,396.41450786590576,0.36327961913233253,89.0,0.75,0.81,0.72,0.85
20,300,534.4284439086914,0.3513452133275474,90.0,0.75,0.81,0.72,0.86
21,400,546.9090778827667,0.36251993526506976,74.0,0.74,0.81,0.71,0.85
22,500,835.6885480880737,0.34048067811288846,90.0,0.76,0.83,0.72,0.86
23,600,904.5907499790192,0.345324319085446,79.0,0.75,0.83,0.71,0.86
24,700,1100.8230249881744,0.32983803428245295,91.0,0.77,0.83,0.74,0.87
25,800,1092.7862529754639,0.3385511335196259,80.0,0.75,0.83,0.72,0.86
26,900,874.869518995285,0.38102377709430013,54.0,0.71,0.81,0.67,0.84
27,1000,1753.729856967926,0.31020600997919345,103.0,0.78,0.84,0.73,0.88
