,learning_rate_init,Run Time,loss,n_iter,Average F-Meas,Average Precision,Average Recall,Overall Accuracy
0,1e-05,19.98988699913025,1.5577726822435896,7.0,0.17,0.19,0.18,0.42
1,4.9999999999999996e-05,20.037713050842285,1.1543992497454914,7.0,0.23,0.29,0.23,0.58
2,0.0001,14.31445598602295,0.9520880851757573,5.0,0.28,0.34,0.29,0.64
3,0.0004999999999999999,11.690925121307373,0.731994109969623,4.0,0.39,0.43,0.4,0.71
4,0.001,19.782131910324097,0.6750296464295653,7.0,0.42,0.6,0.42,0.72
5,0.004999999999999999,25.538815021514893,0.6024584840044415,9.0,0.51,0.65,0.49,0.74
6,0.01,19.89560103416443,0.5640474645698902,7.0,0.56,0.7,0.53,0.76
7,0.049999999999999996,86.939199924469,0.4873171763871202,31.0,0.63,0.74,0.6,0.79
8,0.1,78.03037190437317,0.465245579931792,28.0,0.67,0.76,0.63,0.8
9,0.5,102.50981521606445,0.4691639093921734,42.0,0.64,0.73,0.6,0.8
10,1.0,83.75198411941528,0.7673771756774238,36.0,0.42,0.54,0.39,0.71
