,tol,Run Time,loss,n_iter,Average F-Meas,Average Precision,Average Recall,Overall Accuracy
0,1e-06,269.2312698364258,0.40525040680612784,82.0,0.71,0.79,0.67,0.83
1,4.9999999999999996e-06,256.6698920726776,0.40597839078280784,79.0,0.71,0.79,0.67,0.83
2,1e-05,130.2469301223755,0.45699632065791124,41.0,0.65,0.77,0.61,0.81
3,4.9999999999999996e-05,205.55842804908752,0.4199615960120704,64.0,0.69,0.76,0.66,0.83
4,0.0001,202.91135716438293,0.42945797265459124,63.0,0.68,0.78,0.64,0.82
5,0.0004999999999999999,192.72412300109863,0.4224625315185548,61.0,0.69,0.77,0.65,0.83
6,0.001,126.26480197906494,0.46383962249521304,39.0,0.65,0.75,0.62,0.81
7,0.004999999999999999,19.874114990234375,0.5941698436532011,6.0,0.54,0.71,0.51,0.75
8,0.01,16.783878087997437,0.6033036209585422,5.0,0.53,0.64,0.51,0.75
9,0.049999999999999996,13.756185054779053,0.6163227862778031,4.0,0.54,0.68,0.52,0.75
10,0.1,13.15006399154663,0.6171309430561748,4.0,0.52,0.68,0.5,0.74
11,0.49999999999999994,12.319414138793945,0.6197485233554241,4.0,0.53,0.69,0.5,0.74
12,1.0,12.401866912841797,0.6165930439287475,4.0,0.53,0.68,0.5,0.74
13,5.000000000000001,12.27043604850769,0.6161791392666359,4.0,0.53,0.65,0.51,0.74
14,10.0,12.641854047775269,0.6204322552067996,4.0,0.52,0.68,0.49,0.74
