,tol,Run Time,loss,n_iter,Average F-Meas,Average Precision,Average Recall,Overall Accuracy
0,1e-06,13.327509880065918,0.6782321220893188,4.0,0.46,0.6,0.45,0.72
1,4.9999999999999996e-06,19.740587949752808,0.6786174804723116,6.0,0.44,0.56,0.44,0.73
2,1e-05,20.09888219833374,0.6783685383019321,6.0,0.43,0.49,0.43,0.73
3,4.9999999999999996e-05,16.524292945861816,0.6813495377330563,5.0,0.43,0.49,0.43,0.72
4,0.0001,16.437834978103638,0.6793519071852138,5.0,0.43,0.53,0.43,0.72
5,0.0004999999999999999,12.870844841003418,0.6806251543319412,4.0,0.42,0.52,0.43,0.72
6,0.001,12.123544931411743,0.6850584865977701,4.0,0.42,0.5,0.43,0.72
7,0.004999999999999999,12.176990032196045,0.6788854636800833,4.0,0.42,0.46,0.42,0.72
8,0.01,12.150997877120972,0.675463005844316,4.0,0.44,0.57,0.44,0.72
9,0.049999999999999996,12.039488077163696,0.6759151476149333,4.0,0.43,0.52,0.43,0.72
10,0.1,12.147240161895752,0.6790361921798375,4.0,0.43,0.45,0.43,0.72
11,0.49999999999999994,12.13036322593689,0.6818503290287252,4.0,0.42,0.57,0.42,0.72
12,1.0,12.037542819976807,0.6746965756415568,4.0,0.45,0.59,0.44,0.73
13,5.000000000000001,11.943186044692993,0.678912218296516,4.0,0.42,0.49,0.43,0.72
14,10.0,12.1788170337677,0.6754783980307998,4.0,0.45,0.55,0.44,0.73
